tweet_id,safe_text,label,agreement,label name
0JWCCZN1,know true '90s kid vaccinations mandatory one class got measles <> <>,1.0,1.0,positive
5GRH6V1A,Look people never measles break Obama let illegal children in. Let's put blame belongs.,0.0,1.0,neutral
QLFGNSCB,Ashamed Oregon MT <> How Many People Aren’t Vaccinating Kids Your State? <> <>,1.0,1.0,positive
215ODCPC,<> <> that's insane! The risks child contracting measles &amp; dying far worse risks vaccinating.,1.0,1.0,positive
9IRL6EKB,"Why All blaming American women vaccinating children thus outbreaks,look real truth <>",0.0,1.0,neutral
ZVZQRP3G,Recently learned I'm overdue MMR booster shot &amp; w/ measles &amp; mumps outbreaks I'm concerned! <>,1.0,1.0,positive
XM85TOEY,AP Exclusive: Private school vaccine opt-outs rise <>,0.0,1.0,neutral
98HLSIHZ,I'm Muse tonight madhatterdc #mmr #clubbing #nightlife #photooftheday #partypeople #edm #top40… <>,0.0,1.0,neutral
H5MDE5UH,“<> I'm going Disneyland” get measles,0.0,0.6666666666666666,neutral
4L2AQAHT,Berkeley City Council send letter support vaccination exemption bill: Berkeley City Council send a… <>,0.0,0.6666666666666666,neutral
D2PCNUIY,Best kpt industry secrets:Recently Vaccinated Individuals Spread Disease <> #GMO <>,-1.0,1.0,negative
2359HKBQ,There #measles outbreak #Disney parks? I going <> weeks! Guess I watching <> today.,0.0,1.0,neutral
Y5LXGP4H,Vaccination day! Now babies safe. 🐴🐎💉 Dia de vacinação! Agora meus bebês estão a… <>,1.0,1.0,positive
MM3XH0PP,<> well vaccinate children causes another ones death held responsible,0.0,0.6666666666666666,neutral
1WODJ3Y0,Just choked sip soda I drank. Some woman shoved told stop spreading measles. Thanks anti-vaccers 😠,1.0,0.6666666666666666,positive
3SRKUILW,<> Autism Speaks urges parents vaccinate children amid measles outbreak.,1.0,0.6666666666666666,positive
V2SC1BAC,"<> mmr, hep A &amp; B, chickenpox, etc., limiting factor participation developed refrigeration developing.",1.0,0.6666666666666666,positive
FDG73K2W,<> measles,0.0,1.0,neutral
YI09OBS7,"Marin Health Dept 2 measles cases: ""The children exposed outside Marin part Disneyland outbreak..."" #mapit",0.0,1.0,neutral
K6CJTDEV,"I'd like hope latest measles outbreak change minds anti-vaxxers, chances slim.",1.0,1.0,positive
SKSUQROB,Received memo state health dept alert #ebola Add list: #MERS #WNV #measles #lyme #anaplasmosis #andsoforth,0.0,1.0,neutral
6RF49BXV,"Improve mood, energy, immunity, cardio health. 15% kit profit <> thru 11/11 #Sandy #Donate <>",0.0,1.0,neutral
NIHU9XRR,<> <> <> If would stop allowing 4ppm fluoride drinking water cease CDC EPA vaccines,-1.0,1.0,negative
5XM5CHYW,"The meaning life: ""He immunized God catching diseases fought."" <> <>",0.0,1.0,neutral
K7Y6EPV8,Vlasic feeling well. A Vlasic measles Ebola better healthy Scott Hannan.,0.0,1.0,neutral
IM888TGJ,"<> <> <> bad science raised unfounded suspicions vaccines, esp 4 children &amp; young adults. Hope truth wins.",1.0,1.0,positive
683WCT0I,Why people want vaccinate children?? 😭170 cases measles counting…,1.0,1.0,positive
YKLV2YAW,<> I still say damn measles brought so-called children Central America Obama told come here!,0.0,0.6666666666666666,neutral
VGU16TPD,Parents DON'T vaccinate kids. Table open discussion . (I pt measles today btw) Smdh,0.0,0.6666666666666666,neutral
FBI1FLF6,Stricter screening restricts access subsidized low-cost vaccines: Participants must preregistered.The dead... <>,1.0,0.6666666666666666,positive
3HZ8879T,"""On average, people complain live longer -- Releasing tension increases immunity boosts health."" <>",0.0,1.0,neutral
5B8M8HTE,#MogulintheMaking #followdatbag djhpnotiq #MMR #FDB 🔥🔥🔥🔥🔥 @ <> <>,0.0,1.0,neutral
KUD17GT5,"SCCtApp construes residential ""stand ground"" immunity exclude killing invited guest <>",0.0,1.0,neutral
K711EA74,<> <> beginning many american kids Not vaccinated??? <> #fools,1.0,1.0,positive
2U2EL5QS,State vaccination exemptions tenfold 30 years: Religious medical exemptions claimed Bay State… <>,0.0,1.0,neutral
6C7INV7W,<> look 4 vaccinated vs unvaccinated; longterm health studies.,0.0,1.0,neutral
QQZ0JMF1,"I'LL BE A... RT <> On average, people complain live longer - Releasing tension increases immunity boosts health.",0.0,1.0,neutral
IZH134R1,Every child deserves shot life 💙Vaccinate! #vaccineswork <> <>,1.0,1.0,positive
VSH9GWP0,<> #GOP STOP blaming #Immigrants first #Ebola #measles Which diseases?brought ancestors? #AINF <>,0.0,0.6666666666666666,neutral
2RYG8GTY,"AP Disney gave input measles health messages: As measles outbreak spread last month, Disneyland executives… <>",0.0,1.0,neutral
7ALNN3XA,This map shows real child vaccination problems <> via <>,-1.0,0.3333333333333333,negative
IUHRPJW8,Officials investigate possible measles case: Baltimore County health officials investigating possible case of… <>,0.0,0.6666666666666666,neutral
BVK9RMKC,"What's awful researchers working cure Alzheimer's, cancer, ALS. Now stop find cure measles",1.0,0.6666666666666666,positive
TTFCB02E,"The #zombie apocalypse going start #mutant flu, #measles perhaps #E bola",0.0,1.0,neutral
QCLJQKSO,Click link donate Measles Initiative! All proceeds go directly American Red Cross 💉💵❤️ <>,0.0,0.6666666666666666,neutral
RD5ZQD87,<> health center? Mumps vaccine? Did yesterday,1.0,1.0,positive
