tweet_id,safe_text,label,agreement
MCX0MAM2, Utah health officials monitoring people for possible measles exposure url vaccinate,1.0,0.6666666666666666
R82Z7JC3,ICYMI Ohio has one of the lowest measles vaccination rates in the country Yippee Lets party like its ,1.0,0.6666666666666666
9RX21364,New vaccinations required for Maryland students when school year begins New vaccinations will be required for url,0.0,0.6666666666666666
G2JY496X,Arrived at Ben Franklin HS to perform Lets go DeansLT PickupLines OnTour Jennifair MMR url,0.0,1.0
V072BBSB,Health department offers backtoschool immunizations physicals The Florida Department of Health in Duval County url,1.0,0.6666666666666666
AP1D4BG5,RT Tens of thousands of San Francisco commuters possibly exposed to measles by infected LinkedIn employee url,0.0,0.6666666666666666
RG6I1M0Y,MSNBC you bastardsyou got me Headline read Beck sees measles outbreak as hoax You click the link and it then changes to Glenn Beck,1.0,0.6666666666666666
HW5JV31F, its like tuberculosis and the measles it should be wiped out but still comes up from time to time,0.0,1.0
WN5NJ6VY,Getting my MMR ,1.0,1.0
0UEXAYC5, go to Herbert Lehman high school tomorrow to get vaccine Good Luck,1.0,1.0
RYRCIY6X,Study Military Kids More Likely To Be Missing Out On Routine Vaccinations New research reveals kids in military url,0.0,0.6666666666666666
5Z9RLTYV,We can talk about MMR reactions Significant reactions lt per million Driving the MDs office is more dangerous ,1.0,1.0
8BLS952K,More Americans die from vaccinepreventable diseases than from breast cancer HIVAIDS or motor vehicle accidents,1.0,1.0
A7U4PCRA, since we where kids the amount of vaccinations have doubled Many people believe in its tries to Autism,-1.0,0.3333333333333333
N74ZZ5O8, with a side of measles,0.0,1.0
QMO7MQPZ, announces first case of measles says BART riders may have been exposed Presser coming up at ,0.0,1.0
OT4ZPOH1,Waiting for Abbys four month immunizations Poor baby ,1.0,1.0
A56FLQ35,Kid immunity enhancing facility url,0.0,1.0
QNZPBEPO,Fewer measles pneumonia diarreah deaths main reason for improved child survival since url url,1.0,1.0
NISU0YZY,Hi Hi Measles outbreak in Michigan but Michigan Court has threatened me with jail time if I vaccinate daughters Insane,1.0,1.0
Q9FD25IP,TBT madhatterdc mmr marriedwithchildren al peg bud kelly buck Jefferson marcy Nomam top url,0.0,1.0
RR34SEKL, The science is clear The earth is round the sky is blue and vaccineswork Lets protect all our kids,1.0,1.0
78NRP6VB,If you get the flu shot for you or your child along with vaccinations Youre fucking ignorant,-1.0,1.0
EQZKVS7U,Moms in the developing world are desperate to get their children vaccinated vaccineswork shotatlife,1.0,1.0
I4D043ST, esp when mercury free vaccines are available,1.0,0.6666666666666666
4K5MBYI5,Because maybe vaccines do cause measles Nationwide,-1.0,1.0
6CW5ERN4,Flu shots at school boost vaccination rates Offering flu shots at elementary schools could reduce the number of url,0.0,0.6666666666666666
GHHQTC0W,Vitamin A supplementation in developing world lowers mortality from measles Diane Griffin Measles ,0.0,0.6666666666666666
88M2E2PA,If youre vaccinated then you cant carry the disease and transfer it to someone who cant take a vaccination Its not only for you,1.0,1.0
LD0JY5CM, careful theres a measles outbreak,0.0,1.0
WOBCLL38,Case of measles confirmed in intl traveller to King Co Visited in Seattle amp SeaTac Main Term amp Concourse D ,0.0,1.0
Q3HQLAZ7,Thurston County offers free backtoschool immunization clinics TheNewsTribunecom url Beachcrest Olympia WA,0.0,1.0
YHSO47ZV,California Legislature passes strict school vaccine bill California lawmakers on Monday sent the governor a url,0.0,0.6666666666666666
5TM7O1OP,Omg why would parents not vaccinate their kids,1.0,1.0
760UDFEQ, On average people who complain live longer Releasing this tension increases immunity and boosts their health FOREVER YOUNG,0.0,1.0
ZMZT2ZHM,Babies are fully vaccinated Grantline Veterinary url,1.0,1.0
1T7SREY5,Measles is making a comeback because of irresponsible parents Vaccinate your kids,1.0,1.0
RL6B1BVA,Dr Tom Frieden Vaccines can prevent measles from being a disease of the future url,1.0,1.0
8NICJ1YV,Measles outbreak Vaccinate kids or find new doctor pediatrician says url,1.0,0.6666666666666666
2YF26S2J, measles at disneyland,0.0,0.6666666666666666
34UHCKFI,Swag so sick a nigga got the measles,0.0,1.0
AJMXRHXU, Is that Elmo or pharmaceutical companyGood questionWe can only hope push for vaccinations isnt greed based,0.0,0.6666666666666666
T46VNPQM,At my grade school doing a service project for Martin Luther king day MMR,0.0,1.0
BN6425H5,Interesting editorial given the current measles outbreak in NYC url,1.0,1.0
C2KBQ2SE,Have you ever noticed its always uneducated people who dont vaccinate their children You never hear a mom at a university say that shit,1.0,1.0
8SYLB8P8,Who okayed having a likely unvaccinated Jenny McCarthy put smack dab in Times Square among million people influenzapandemic MMR,1.0,1.0
715ATU2Y,my parents are talking about vaccines and they just said what if Cooper gets measles and goes blind,0.0,1.0
Z88A01XW,HilaryClinton can suck it vaccines r not always safe Science is not always right grandmothersnotalwaysright,-1.0,1.0
KK8LVLJA,Madison Martin Margiela for HampM long dress size REDDZ price mmr maisonmartinmargiela url,0.0,1.0
1X7NJIQI,I know a certain high school throwing a complete shit fit over a vaccine I said my daughter did NOT need,-1.0,1.0
JIXS1DE8,Obama tells lies with impunity amp immunity but not with BrownsvilleTexas Federal JudgeAndrewHanen who isnt buying WH Amnesty lies YES,0.0,1.0
JOM84K21,Mumps measles cases continue to rise As of yesterday afternoon cases of mumps have been linked to the url,0.0,1.0
24PG35M6,In another a Kyrgyz citizen was shot dead by an American soldier who escaped prosecution due to immunity the solider enjoyed that base,0.0,1.0
6E4KZTPT, But the Mercury was removed from the vaccines,1.0,0.6666666666666666
JS5KVA4G,Area hospital erects tent to isolate screen possible measles patient A hospital in Port Angeles has erected a url,0.0,1.0
KVEZT1TQ, Not only do vaccinations fail to prevent disease they are proven to cause disease Please consider reversing your position,-1.0,0.3333333333333333
Y6F7OOW5, Genetic analysis of costly cattle disease may aid in vaccine development url,0.0,1.0
3G88ND5Y,Its troubling hearing about parents who wont vaccinate their children,1.0,1.0
1F3GJLD4,Santa clara county public health officer says flu death in co was year old woman Some pharmacies are reporting running out of vaccine,0.0,1.0
5IHX20TB, he thinks vaccines cause autism,0.0,0.6666666666666666
B1YUO06L,Flu shot at Check Provide a vaccine to a child through Check Bandaid url,1.0,1.0
ZNLW6TUV, the keyboard is sweet I have the non ultimate version and it raised my MMR by like ,0.0,1.0
HLC6AGDR,Vaccinate your children Do it The Number Of Early Childhood Vaccines Not Linked To Autism url,1.0,0.6666666666666666
ZCN8RWWO, Thank you vaccines for making the world a safer place pic Leon Farrant url ,1.0,1.0
5V4DLHU4,Y no eh que yordani sea minimo el principe azul pero por mas feo ese mmr guta lol lol,0.0,1.0
2DXGXODS,How much more likely is RoyalBaby to reach th bday than a baby born in Nigeria Childhealth vaccineswork RESULTSconf,0.0,0.6666666666666666
KSS3YNGL,Getting blood test to prove I have measles immunity Geez URMC Medical Labs in Rochester NY url,0.0,0.6666666666666666
SBOZY7KJ, but but vaccinations cause autism Jenny McCarthy said so and she is on The View so you know she is right,-1.0,0.6666666666666666
